pdf_page,section,source_image,vision_ocr_file,has_text,has_table,table_ids,review_status,action,confidence,notes
001,封面、版权和可视化图示,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_001.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_001.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
002,封面、版权和可视化图示,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_002.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_002.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
003,封面、版权和可视化图示,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_003.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_003.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
004,封面、版权和可视化图示,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_004.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_004.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
005,前言与编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_005.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_005.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
012,平衡膳食准则概览与目录,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_012.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_012.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
014,第一部分 一般人群膳食指南,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_014.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_014.tsv,True,False,,reviewed,no_readable_text_after_review,high,页图经 Vision OCR 复核后无稳定可读正文；保留页标，不补写。
015,第一部分 一般人群膳食指南,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_015.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_015.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
017,准则一 食物多样，合理搭配,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_017.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_017.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
019,准则一 食物多样，合理搭配,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_019.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_019.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
026,准则一 食物多样，合理搭配,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_026.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_026.tsv,True,True,表 1-8;表 1-9;表 1-10,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
028,准则一 食物多样，合理搭配,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_028.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_028.tsv,True,True,表 1-11,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
031,准则一 食物多样，合理搭配,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_031.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_031.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
052,准则二 吃动平衡，健康体重,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_052.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_052.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
061,准则三 多吃蔬果、奶类、全谷、大豆,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_061.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_061.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
063,准则三 多吃蔬果、奶类、全谷、大豆,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_063.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_063.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
073,准则三 多吃蔬果、奶类、全谷、大豆,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_073.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_073.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
074,准则三 多吃蔬果、奶类、全谷、大豆,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_074.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_074.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
096,准则四 适量吃鱼、禽、蛋、瘦肉,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_096.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_096.tsv,True,True,表 1-31,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
099,准则四 适量吃鱼、禽、蛋、瘦肉,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_099.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_099.tsv,True,True,表 1-33,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
107,准则四 适量吃鱼、禽、蛋、瘦肉,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_107.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_107.tsv,True,True,表 1-37,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
108,准则五 少盐少油，控糖限酒,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_108.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_108.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
113,准则五 少盐少油，控糖限酒,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_113.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_113.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
118,准则五 少盐少油，控糖限酒,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_118.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_118.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
119,准则五 少盐少油，控糖限酒,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_119.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_119.tsv,True,True,表 1-42;表 1-43,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
128,准则五 少盐少油，控糖限酒,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_128.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_128.tsv,True,True,表 1-46,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
129,准则五 少盐少油，控糖限酒,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_129.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_129.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
151,准则六 规律进餐，足量饮水,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_151.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_151.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
159,准则七 会烹会选，会看标签,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_159.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_159.tsv,True,True,表 1-57,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
161,准则七 会烹会选，会看标签,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_161.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_161.tsv,True,True,表 1-58,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
190,准则八 公筷分餐，杜绝浪费,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_190.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_190.tsv,True,False,,reviewed,no_readable_text_after_review,high,页图经 Vision OCR 复核后无稳定可读正文；保留页标，不补写。
194,备孕和孕期妇女膳食指南,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_194.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_194.tsv,True,True,表 2-1,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
261,学龄前儿童膳食指南,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_261.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_261.tsv,True,True,表 2-8;表 2-9,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
294,素食人群膳食指南,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_294.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_294.tsv,True,True,表 2-16,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
297,素食人群膳食指南,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_297.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_297.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
302,素食人群膳食指南,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_302.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_302.tsv,True,False,,reviewed,no_readable_text_after_review,high,页图经 Vision OCR 复核后无稳定可读正文；保留页标，不补写。
305,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_305.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_305.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
315,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_315.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_315.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
316,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_316.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_316.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
324,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_324.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_324.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
325,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_325.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_325.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
330,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_330.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_330.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
331,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_331.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_331.tsv,True,True,表 3-7,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
333,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_333.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_333.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
336,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_336.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_336.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
342,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_342.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_342.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
343,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_343.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_343.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
344,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_344.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_344.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
345,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_345.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_345.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
346,第三部分 平衡膳食模式和编写说明,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_346.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_346.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
351,附录一 常见食物的份量,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_351.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_351.tsv,True,True,附表 1-4,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
352,附录一 常见食物的份量,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_352.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_352.tsv,True,True,附表 1-4,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
353,附录一 常见食物的份量,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_353.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_353.tsv,True,True,附表 1-4,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
354,附录二 膳食营养素参考摄入量,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_354.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_354.tsv,True,True,附表 2-1,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
355,附录二 膳食营养素参考摄入量,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_355.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_355.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
356,附录二 膳食营养素参考摄入量,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_356.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_356.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
357,附录三至附录四,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_357.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_357.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
358,附录三至附录四,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_358.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_358.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
359,附录三至附录四,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_359.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_359.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
360,附录三至附录四,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_360.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_360.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
361,附录五 儿童青少年体格发育标准,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_361.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_361.tsv,True,True,附表 5-1,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
362,附录五 儿童青少年体格发育标准,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_362.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_362.tsv,True,True,附表 5-2,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
363,附录五 儿童青少年体格发育标准,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_363.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_363.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
364,附录五 儿童青少年体格发育标准,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_364.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_364.tsv,True,True,附表 5-4,reviewed,verified_table_block_plus_vision_review,high,本页含表格候选；verified 表格块已单独校订，正文可读文字以 Vision OCR 复核。
365,附录六 成人 BMI 与健康体重对应关系,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_365.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_365.tsv,True,False,,reviewed,converted_dense_bmi_chart,high,本页为成人 BMI 与健康体重对应关系密集图表，已作为非 99 候选图表写入 verified 正文和表格汇总。
366,主要参考文献,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_366.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_366.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
367,主要参考文献,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_367.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_367.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
368,主要参考文献,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_368.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_368.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
369,主要参考文献,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_369.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_369.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
370,主要参考文献,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_370.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_370.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
371,主要参考文献,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_371.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_371.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
372,主要参考文献,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_372.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_372.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
373,主要参考文献,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_373.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_373.tsv,True,False,,reviewed,no_readable_text_after_review,high,页图经 Vision OCR 复核后无稳定可读正文；保留页标，不补写。
374,主要参考文献,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/body_page_images/page_374.png,/Users/zhaoziqian/Dietary Guidelines for Chinese Residents/qa/vision_ocr_body/page_374.tsv,True,False,,reviewed,vision_ocr_reviewed,medium,已生成 220 DPI 页图和 Vision OCR 复核文本；未发现目标残留噪声时不改写正文。
